epoch,total_loss
0,5.0432992200824533e-14
1,3.325099662840683e-14
2,3.1519180169505e-14
3,2.9420296900712836e-14
4,2.9199112881262215e-14
5,2.906402467870231e-14
6,2.6378588034595488e-14
7,2.578300189993131e-14
