epoch,endogvar_q_cond_q_min,endogvar_q_cond_q_max,endogvar_psi_cond_psi_min,endogvar_psi_cond_psi_max,system_crisis_region,system_normal_region,total_loss
0,0.12001246958971024,0.15645501017570496,0.4957064688205719,0.08544983714818954,43.15379333496094,0.0,128.91616821289062
1,0.11760856211185455,0.15319772064685822,0.49081751704216003,0.08716721087694168,42.576560974121094,0.0,127.4556655883789
2,0.11515048146247864,0.14983278512954712,0.4859239459037781,0.08889801055192947,41.98186111450195,0.0,125.96238708496094
3,0.11263425648212433,0.14635662734508514,0.48101910948753357,0.09063720703125,41.36854934692383,0.0,124.43327331542969
4,0.11005721241235733,0.14276418089866638,0.4760836958885193,0.09238738566637039,40.73536682128906,0.0,122.86460876464844
5,0.10741492360830307,0.13904762268066406,0.47109636664390564,0.09415250271558762,40.0805778503418,0.0,121.25172424316406
6,0.10470191389322281,0.1351974904537201,0.4660377502441406,0.09593654423952103,39.40214920043945,0.0,119.58952331542969
7,0.10191206634044647,0.1312045305967331,0.46089112758636475,0.09774206578731537,38.69797134399414,0.0,117.87295532226562
8,0.09903921186923981,0.12706023454666138,0.4556407928466797,0.0995720848441124,37.96592712402344,0.0,116.09716033935547
9,0.09607739001512527,0.1227567046880722,0.4502723515033722,0.10142887383699417,37.203948974609375,0.0,114.25747680664062
10,0.0930214375257492,0.11828682571649551,0.4447738528251648,0.10331350564956665,36.41004943847656,0.0,112.34961700439453
11,0.08986683934926987,0.11364442855119705,0.43913477659225464,0.10522615909576416,35.58234405517578,0.0,110.36956024169922
12,0.08660948276519775,0.10882458835840225,0.43334561586380005,0.10716646164655685,34.71904754638672,0.0,108.31365966796875
13,0.08324587345123291,0.10382375121116638,0.42739778757095337,0.10913343727588654,33.81847381591797,0.0,106.17855834960938
14,0.07977306097745895,0.09863980859518051,0.4212835431098938,0.11112497001886368,32.879051208496094,0.0,103.96118927001953
15,0.07618894428014755,0.09327273815870285,0.4149954319000244,0.11313843727111816,31.899433135986328,0.0,101.65898132324219
16,0.07249262928962708,0.08772499859333038,0.4085269868373871,0.11516997963190079,30.87856101989746,0.0,99.27002716064453
17,0.0686843991279602,0.08200237154960632,0.40187257528305054,0.11721450835466385,29.815780639648438,0.0,96.79316711425781
18,0.06476641446352005,0.0761146992444992,0.39502742886543274,0.11926491558551788,28.710969924926758,0.0,94.22831726074219
19,0.06074263155460358,0.07007671892642975,0.3879883885383606,0.12131229788064957,27.564739227294922,0.0,91.57675170898438
20,0.056619562208652496,0.0639091283082962,0.38075289130210876,0.12334561347961426,26.378578186035156,0.0,88.84129333496094
21,0.05240670591592789,0.05763966590166092,0.3733201324939728,0.12535163760185242,25.155160903930664,0.0,86.02696990966797
22,0.048117004334926605,0.05130450800061226,0.36569103598594666,0.12731462717056274,23.898643493652344,0.0,83.141357421875
23,0.043767817318439484,0.04494986683130264,0.3578685224056244,0.12921607494354248,22.615055084228516,0.0,80.19528198242188
24,0.039381422102451324,0.038633499294519424,0.3498575687408447,0.13103444874286652,21.312728881835938,0.0,77.20342254638672
25,0.03498595580458641,0.03242635726928711,0.341666042804718,0.13274455070495605,20.002824783325195,0.0,74.18511199951172
26,0.03061615861952305,0.02641420066356659,0.33330434560775757,0.13431750237941742,18.699871063232422,0.0,71.16509246826172
27,0.026314226910471916,0.020698867738246918,0.3247852325439453,0.13572029769420624,17.42237091064453,0.0,68.17423248291016
28,0.022130412980914116,0.015399145893752575,0.31612473726272583,0.13691553473472595,16.193326950073242,0.0,65.25031280517578
29,0.018123477697372437,0.010649985633790493,0.30734148621559143,0.13786093890666962,15.040634155273438,0.0,62.43822479248047
30,0.01436036080121994,0.00659955944865942,0.29845723509788513,0.13850928843021393,13.996973037719727,0.0,59.78961944580078
31,0.010914905928075314,0.003402006346732378,0.2894963324069977,0.13880811631679535,13.098836898803711,0.0,57.36097717285156
32,0.007864263840019703,0.0012029758654534817,0.2804853320121765,0.13870052993297577,12.383840560913086,0.0,55.20915222167969
33,0.005282520316541195,0.00011401063238736242,0.27145200967788696,0.1381259709596634,11.885234832763672,0.0,53.382686614990234
34,0.0032291666138917208,0.0001719200809020549,0.26242443919181824,0.13702167570590973,11.622230529785156,0.0,51.906951904296875
35,0.0017324341461062431,0.0012840722920373082,0.2534298896789551,0.13532432913780212,11.585872650146484,0.0,50.762943267822266
36,0.0007693754159845412,0.0031774179078638554,0.24449484050273895,0.13297128677368164,11.7240629196167,0.0,49.8653564453125
37,0.0002535009116400033,0.005397402681410313,0.2356436401605606,0.12990261614322662,11.937097549438477,0.0,49.05681610107422
38,4.672515206038952e-05,0.007406926713883877,0.22689925134181976,0.12606272101402283,12.09804916381836,0.0,48.139610290527344
39,7.356678679570905e-07,0.008760676719248295,0.21828173100948334,0.12140320241451263,12.095416069030762,0.0,46.9400520324707
40,3.984177055826876e-06,0.009241071529686451,0.20980750024318695,0.11588655412197113,11.870620727539062,0.0,45.364532470703125
41,4.052040367241716e-06,0.008875304833054543,0.2014884203672409,0.10949012637138367,11.426666259765625,0.0,43.41245651245117
42,1.1245005282489728e-07,0.00786021538078785,0.19333061575889587,0.10221171379089355,10.811270713806152,0.0,41.15153884887695
43,2.025994035648182e-05,0.006463468540459871,0.18533332645893097,0.0940747931599617,10.09149169921875,0.0,38.6806755065918
44,9.867859625956044e-05,0.004944534972310066,0.17748846113681793,0.08513560146093369,9.332620620727539,0.0,36.09934997558594
45,0.0002599337312858552,0.0035083729308098555,0.16978022456169128,0.07549021393060684,8.585779190063477,0.0,33.489654541015625
46,0.0005116735119372606,0.0022876732982695103,0.1621847003698349,0.06528257578611374,7.8835320472717285,0.0,30.910192489624023
47,0.0008440960082225502,0.001345097552984953,0.1546688824892044,0.054713983088731766,7.241110801696777,0.0,28.398319244384766
48,0.0012337751686573029,0.0006867552874609828,0.14718911051750183,0.04405176267027855,6.66065788269043,0.0,25.976797103881836
49,0.0016492168651893735,0.0002802503586281091,0.139689102768898,0.03363616392016411,6.136502742767334,0.0,23.661975860595703
50,0.002056705066934228,7.220102997962385e-05,0.13209715485572815,0.023879775777459145,5.660076141357422,0.0,21.470661163330078
51,0.002424858743324876,2.583409695944283e-06,0.12432588636875153,0.015252615325152874,5.223732948303223,0.0,19.424327850341797
52,0.0027279043570160866,1.4940095752535854e-05,0.11627668142318726,0.008240297436714172,4.823123455047607,0.0,17.54910659790039
53,0.0029474555049091578,6.256830965867266e-05,0.10785543918609619,0.0032640660647302866,4.4579243659973145,0.0,15.87087631225586
54,0.0030730923172086477,0.00011145896860398352,0.0990040972828865,0.0005624417099170387,4.130951404571533,0.0,14.406059265136719
55,0.0031021584291011095,0.00014089469914324582,0.08973471820354462,6.314103666227311e-05,3.8461008071899414,0.0,13.150192260742188
56,0.0030390084721148014,0.00014245550846681,0.08015336096286774,0.0012978384038433433,3.582184314727783,0.0017618106212466955,12.047211647033691
57,0.00289394473657012,0.00011804504902102053,0.07044278830289841,0.00340138073079288,3.3734965324401855,0.0030537708662450314,11.062166213989258
58,0.00268172868527472,7.721409201622009e-05,0.06089618802070618,0.005378204397857189,3.2109501361846924,0.0030313488095998764,10.117315292358398
59,0.002420000499114394,3.419968925300054e-05,0.0518125556409359,0.006439568940550089,3.099897623062134,0.0019275479717180133,9.172456741333008
60,0.0021277901250869036,4.877345418208279e-06,0.0434420183300972,0.006241432391107082,3.0458600521087646,0.0006886690971441567,8.228160858154297
61,0.001824007136747241,3.825881321972702e-06,0.03595816344022751,0.004943277686834335,3.054670572280884,5.6236345699289814e-05,7.327653884887695
62,0.00152606051415205,4.167092629359104e-05,0.02945403754711151,0.0030830195173621178,3.133944034576416,0.0001631657942198217,6.544586181640625
63,0.0012485835468396544,0.0001229572662850842,0.023953251540660858,0.0013386696809902787,3.2853360176086426,0.000490133767016232,5.95217227935791
64,0.0010025418596342206,0.0002448899904266,0.01942630484700203,0.0002548236516304314,3.5094358921051025,7.749980431981385e-05,5.602369785308838
65,0.0007946636178530753,0.0003972478734795004,0.0158108901232481,1.0303770068276208e-05,3.761460304260254,0.0,5.462770938873291
66,0.0006274987244978547,0.0005636976566165686,0.013001127168536186,0.00032807060051709414,4.0095624923706055,0.0,5.461602210998535
67,0.00034712234628386796,0.000956055533606559,0.008085478097200394,0.0004285705217625946,4.371333122253418,0.0,5.353055953979492
68,0.0003119184693787247,0.0010022398782894015,0.00719983596354723,5.383731331676245e-05,4.329590797424316,0.0,5.186373710632324
69,0.00029822299256920815,0.0009975129505619407,0.006525390315800905,0.00011686163634294644,4.237308025360107,0.0,5.031106948852539
70,0.00030286877881735563,0.0009470242075622082,0.005991164594888687,0.00097195606213063,4.117280006408691,0.002547541633248329,4.941129207611084
