epoch,endogeq_1,total_loss
0,41.240089416503906,41.240089416503906
1,40.6221809387207,40.6221809387207
2,39.981910705566406,39.981910705566406
3,39.31785202026367,39.31785202026367
4,38.62849044799805,38.62849044799805
5,37.91170120239258,37.91170120239258
6,37.16493606567383,37.16493606567383
7,36.38554000854492,36.38554000854492
8,35.57085418701172,35.57085418701172
9,34.71817398071289,34.71817398071289
10,33.82481002807617,33.82481002807617
11,32.888092041015625,32.888092041015625
12,31.905351638793945,31.905351638793945
13,30.873878479003906,30.873878479003906
14,29.790973663330078,29.790973663330078
15,28.653993606567383,28.653993606567383
16,27.460468292236328,27.460468292236328
17,26.208202362060547,26.208202362060547
18,24.89542579650879,24.89542579650879
19,23.52096176147461,23.52096176147461
20,22.084426879882812,22.084426879882812
21,20.586475372314453,20.586475372314453
22,19.029138565063477,19.029138565063477
23,17.416234970092773,17.416234970092773
24,15.753915786743164,15.753915786743164
25,14.051350593566895,14.051350593566895
26,12.321517944335938,12.321517944335938
27,10.58212661743164,10.58212661743164
28,8.856732368469238,8.856732368469238
29,7.175931930541992,7.175931930541992
30,5.5785698890686035,5.5785698890686035
31,4.1126580238342285,4.1126580238342285
32,2.835477828979492,2.835477828979492
33,1.8117479085922241,1.8117479085922241
34,1.107863187789917,1.107863187789917
35,0.7788988351821899,0.7788988351821899
36,0.6922585368156433,0.6922585368156433
37,0.6157262921333313,0.6157262921333313
38,0.6131364703178406,0.6131364703178406
39,0.5775411128997803,0.5775411128997803
40,0.5332803130149841,0.5332803130149841
41,0.5028455257415771,0.5028455257415771
42,0.48629868030548096,0.48629868030548096
43,0.4819963574409485,0.4819963574409485
44,0.46588656306266785,0.46588656306266785
45,0.4488186240196228,0.4488186240196228
46,0.4338489770889282,0.4338489770889282
47,0.42187103629112244,0.42187103629112244
48,0.413169801235199,0.413169801235199
49,0.40750277042388916,0.40750277042388916
50,0.404247909784317,0.404247909784317
51,0.40257543325424194,0.40257543325424194
52,0.4016125202178955,0.4016125202178955
53,0.4005768895149231,0.4005768895149231
54,0.39887112379074097,0.39887112379074097
55,0.3961288332939148,0.3961288332939148
56,0.3922226130962372,0.3922226130962372
57,0.38723647594451904,0.38723647594451904
58,0.3814147710800171,0.3814147710800171
59,0.37509989738464355,0.37509989738464355
60,0.3686634600162506,0.3686634600162506
61,0.36244794726371765,0.36244794726371765
62,0.35671815276145935,0.35671815276145935
63,0.35163378715515137,0.35163378715515137
64,0.34723925590515137,0.34723925590515137
65,0.343474805355072,0.343474805355072
66,0.34020042419433594,0.34020042419433594
67,0.33723121881484985,0.33723121881484985
68,0.3343731760978699,0.3343731760978699
69,0.3314569592475891,0.3314569592475891
70,0.3283612132072449,0.3283612132072449
71,0.32502481341362,0.32502481341362
72,0.3214467167854309,0.3214467167854309
73,0.3176752030849457,0.3176752030849457
74,0.313790500164032,0.313790500164032
75,0.3098852336406708,0.3098852336406708
76,0.3060459792613983,0.3060459792613983
77,0.3023388981819153,0.3023388981819153
78,0.29880207777023315,0.29880207777023315
79,0.295444518327713,0.295444518327713
80,0.29224878549575806,0.29224878549575806
81,0.2891795039176941,0.2891795039176941
82,0.28619226813316345,0.28619226813316345
83,0.28324267268180847,0.28324267268180847
84,0.28029388189315796,0.28029388189315796
85,0.2773212492465973,0.2773212492465973
86,0.27431413531303406,0.27431413531303406
87,0.27127569913864136,0.27127569913864136
88,0.26821866631507874,0.26821866631507874
89,0.2651625871658325,0.2651625871658325
90,0.26212814450263977,0.26212814450263977
91,0.2591340243816376,0.2591340243816376
92,0.2561931014060974,0.2561931014060974
93,0.25331181287765503,0.25331181287765503
94,0.2504898011684418,0.2504898011684418
95,0.24772056937217712,0.24772056937217712
96,0.24499434232711792,0.24499434232711792
97,0.24230000376701355,0.24230000376701355
98,0.23962709307670593,0.23962709307670593
99,0.23696783185005188,0.23696783185005188
100,0.2343178391456604,0.2343178391456604
101,0.231676384806633,0.231676384806633
102,0.2290455549955368,0.2290455549955368
103,0.22642970085144043,0.22642970085144043
104,0.22383373975753784,0.22383373975753784
105,0.22126248478889465,0.22126248478889465
106,0.21871936321258545,0.21871936321258545
107,0.21620625257492065,0.21620625257492065
108,0.2137230634689331,0.2137230634689331
109,0.21126830577850342,0.21126830577850342
110,0.20883938670158386,0.20883938670158386
111,0.20643359422683716,0.20643359422683716
112,0.20404811203479767,0.20404811203479767
113,0.2016807347536087,0.2016807347536087
114,0.19933028519153595,0.19933028519153595
115,0.19699642062187195,0.19699642062187195
116,0.19467955827713013,0.19467955827713013
117,0.19238048791885376,0.19238048791885376
118,0.1901005059480667,0.1901005059480667
119,0.1878405064344406,0.1878405064344406
120,0.18560108542442322,0.18560108542442322
121,0.18338266015052795,0.18338266015052795
122,0.1811848133802414,0.1811848133802414
123,0.1790071427822113,0.1790071427822113
124,0.17684869468212128,0.17684869468212128
125,0.1747085452079773,0.1747085452079773
126,0.17258599400520325,0.17258599400520325
127,0.17048031091690063,0.17048031091690063
128,0.16839110851287842,0.16839110851287842
129,0.16631831228733063,0.16631831228733063
130,0.16426187753677368,0.16426187753677368
131,0.16222205758094788,0.16222205758094788
132,0.16019892692565918,0.16019892692565918
133,0.15819254517555237,0.15819254517555237
134,0.15620319545269012,0.15620319545269012
135,0.15423044562339783,0.15423044562339783
136,0.15227429568767548,0.15227429568767548
137,0.1503344178199768,0.1503344178199768
138,0.14841033518314362,0.14841033518314362
139,0.14650189876556396,0.14650189876556396
140,0.14460866153240204,0.14460866153240204
141,0.14273060858249664,0.14273060858249664
142,0.14086733758449554,0.14086733758449554
143,0.13901886343955994,0.13901886343955994
144,0.13718508183956146,0.13718508183956146
145,0.1353660523891449,0.1353660523891449
146,0.13356153666973114,0.13356153666973114
147,0.1317717283964157,0.1317717283964157
148,0.12999626994132996,0.12999626994132996
149,0.1282351016998291,0.1282351016998291
150,0.12648805975914001,0.12648805975914001
151,0.12475509196519852,0.12475509196519852
152,0.12303581833839417,0.12303581833839417
153,0.12133029103279114,0.12133029103279114
154,0.11963823437690735,0.11963823437690735
155,0.11795960366725922,0.11795960366725922
156,0.11629423499107361,0.11629423499107361
157,0.1146421805024147,0.1146421805024147
158,0.11300323903560638,0.11300323903560638
159,0.11137735098600388,0.11137735098600388
160,0.10976450145244598,0.10976450145244598
161,0.10816467553377151,0.10816467553377151
162,0.1065775603055954,0.1065775603055954
163,0.10500320047140121,0.10500320047140121
164,0.10344154387712479,0.10344154387712479
165,0.10189244896173477,0.10189244896173477
166,0.10035586357116699,0.10035586357116699
167,0.09883159399032593,0.09883159399032593
168,0.09731973707675934,0.09731973707675934
169,0.09582012891769409,0.09582012891769409
170,0.0943327397108078,0.0943327397108078
171,0.09285745769739151,0.09285745769739151
172,0.09139435738325119,0.09139435738325119
173,0.08994333446025848,0.08994333446025848
174,0.08850428462028503,0.08850428462028503
175,0.08707726746797562,0.08707726746797562
176,0.08566213399171829,0.08566213399171829
177,0.08425889909267426,0.08425889909267426
178,0.08286749571561813,0.08286749571561813
179,0.08148795366287231,0.08148795366287231
180,0.08012013882398605,0.08012013882398605
181,0.07876408845186234,0.07876408845186234
182,0.07741975784301758,0.07741975784301758
183,0.07608713209629059,0.07608713209629059
184,0.07476622611284256,0.07476622611284256
185,0.07345697283744812,0.07345697283744812
186,0.07215939462184906,0.07215939462184906
187,0.0708734393119812,0.0708734393119812
188,0.06959912925958633,0.06959912925958633
189,0.06833651661872864,0.06833651661872864
190,0.06708551198244095,0.06708551198244095
191,0.06584607809782028,0.06584607809782028
192,0.06461834907531738,0.06461834907531738
193,0.06340224295854568,0.06340224295854568
194,0.062197763472795486,0.062197763472795486
195,0.06100497767329216,0.06100497767329216
196,0.05982384830713272,0.05982384830713272
197,0.05865440517663956,0.05865440517663956
198,0.05749668926000595,0.05749668926000595
