epoch,endogeq_1,endogeq_2,hjbeq_1,hjbeq_2,total_loss
0,0.030382372438907623,0.01266788225620985,0.11650673300027847,0.11988892406225204,0.27944591641426086
1,0.029261192306876183,0.012505526654422283,0.11201510578393936,0.1154470443725586,0.26922887563705444
2,0.028108716011047363,0.012337446212768555,0.10749391466379166,0.11101172864437103,0.2589517831802368
3,0.026850799098610878,0.01215403527021408,0.1026158407330513,0.10626325756311417,0.24788391590118408
4,0.025425605475902557,0.011944437399506569,0.09716267138719559,0.10096683353185654,0.2354995608329773
5,0.023772208020091057,0.011702394112944603,0.09096824377775192,0.09494458884000778,0.22138744592666626
6,0.02182726003229618,0.01142809633165598,0.08389964699745178,0.08806333690881729,0.2052183449268341
7,0.019532322883605957,0.011127740144729614,0.07588203996419907,0.08025357127189636,0.1867956817150116
8,0.016844913363456726,0.010813800618052483,0.06692685931921005,0.07153217494487762,0.16611775755882263
9,0.013757308945059776,0.010507669299840927,0.05715358629822731,0.06202554330229759,0.14344410598278046
10,0.010331914760172367,0.010244585573673248,0.046808116137981415,0.05199083685874939,0.11937545239925385
11,0.00676086125895381,0.01008270401507616,0.03627734258770943,0.04183308780193329,0.0949539989233017
12,0.003461136482656002,0.010120146907866001,0.02610967308282852,0.03212762624025345,0.07181858271360397
13,0.0012111512478441,0.010520380921661854,0.017061349004507065,0.023671776056289673,0.05246465653181076
14,0.0012726708082482219,0.011467056348919868,0.010162880644202232,0.01756230928003788,0.040464915335178375
15,0.0051813810132443905,0.012490157037973404,0.00637897290289402,0.01472032442688942,0.03877083584666252
16,0.016760269179940224,0.0038989470340311527,0.0020332729909569025,0.008298251777887344,0.030990740284323692
17,0.01124915573745966,0.0031197506468743086,0.0017060543177649379,0.008042503148317337,0.02411746419966221
18,0.0069290343672037125,0.0025183199904859066,0.0015841980930417776,0.00814280565828085,0.01917435973882675
19,0.003983194474130869,0.00203773588873446,0.00161651277448982,0.008464362472295761,0.016101805493235588
20,0.0022154932375997305,0.0016390773234888911,0.0017351104179397225,0.008840459398925304,0.014430140145123005
21,0.001303388737142086,0.001300846692174673,0.0018946658819913864,0.009109923616051674,0.013608824461698532
22,0.0009387249010615051,0.0010187705047428608,0.002093134680762887,0.009146561846137047,0.01319719199091196
23,0.0008814103784970939,0.0008012003963813186,0.0023603339213877916,0.008874745108187199,0.012917689979076385
24,0.0009658941999077797,0.0006581939524039626,0.002716751303523779,0.008272918872535229,0.012613758444786072
25,0.001089082914404571,0.0005880164098925889,0.003124960931017995,0.0073698232881724834,0.012171883136034012
26,0.0011943548452109098,0.0005697945598512888,0.0034768569748848677,0.006238663103431463,0.01147967018187046
27,0.001257335301488638,0.0005692024133168161,0.0036506461910903454,0.004993245005607605,0.010470429435372353
28,0.0012745639542117715,0.0005541766295209527,0.0035971582401543856,0.003785380395129323,0.009211279451847076
