epoch,endogeq_1,total_loss
103,2.9533005090343067e-06,2.9533005090343067e-06
104,2.9533005090343067e-06,2.9533005090343067e-06
105,2.9533005090343067e-06,2.9533005090343067e-06
106,2.9533005090343067e-06,2.9533005090343067e-06
107,2.9533005090343067e-06,2.9533005090343067e-06
108,2.9533005090343067e-06,2.9533005090343067e-06
109,2.9533005090343067e-06,2.9533005090343067e-06
110,2.9533005090343067e-06,2.9533005090343067e-06
111,2.9533005090343067e-06,2.9533005090343067e-06
112,2.9533005090343067e-06,2.9533005090343067e-06
113,2.9533005090343067e-06,2.9533005090343067e-06
114,2.9533005090343067e-06,2.9533005090343067e-06
115,2.9533005090343067e-06,2.9533005090343067e-06
116,2.9533005090343067e-06,2.9533005090343067e-06
117,2.9533005090343067e-06,2.9533005090343067e-06
118,2.9533005090343067e-06,2.9533005090343067e-06
119,2.9533005090343067e-06,2.9533005090343067e-06
120,2.9533005090343067e-06,2.9533005090343067e-06
121,2.9533005090343067e-06,2.9533005090343067e-06
122,2.9533005090343067e-06,2.9533005090343067e-06
123,2.9533005090343067e-06,2.9533005090343067e-06
124,2.9533005090343067e-06,2.9533005090343067e-06
125,2.9533005090343067e-06,2.9533005090343067e-06
126,2.9533005090343067e-06,2.9533005090343067e-06
127,2.9533005090343067e-06,2.9533005090343067e-06
128,2.9533005090343067e-06,2.9533005090343067e-06
129,2.9533005090343067e-06,2.9533005090343067e-06
130,2.9533005090343067e-06,2.9533005090343067e-06
131,2.9533005090343067e-06,2.9533005090343067e-06
132,2.9533005090343067e-06,2.9533005090343067e-06
133,2.9533005090343067e-06,2.9533005090343067e-06
134,2.9533005090343067e-06,2.9533005090343067e-06
135,2.9533005090343067e-06,2.9533005090343067e-06
136,2.9533005090343067e-06,2.9533005090343067e-06
137,2.9533005090343067e-06,2.9533005090343067e-06
138,2.9533005090343067e-06,2.9533005090343067e-06
139,2.9533005090343067e-06,2.9533005090343067e-06
140,2.9533005090343067e-06,2.9533005090343067e-06
141,2.9533005090343067e-06,2.9533005090343067e-06
142,2.9533005090343067e-06,2.9533005090343067e-06
143,2.9533005090343067e-06,2.9533005090343067e-06
144,2.9533005090343067e-06,2.9533005090343067e-06
145,2.9533005090343067e-06,2.9533005090343067e-06
146,2.9533005090343067e-06,2.9533005090343067e-06
147,2.9533005090343067e-06,2.9533005090343067e-06
148,2.9533005090343067e-06,2.9533005090343067e-06
149,2.9533005090343067e-06,2.9533005090343067e-06
150,2.9533005090343067e-06,2.9533005090343067e-06
151,2.9533005090343067e-06,2.9533005090343067e-06
152,2.9533005090343067e-06,2.9533005090343067e-06
153,2.9533005090343067e-06,2.9533005090343067e-06
154,2.9533005090343067e-06,2.9533005090343067e-06
155,2.9533005090343067e-06,2.9533005090343067e-06
156,2.9533005090343067e-06,2.9533005090343067e-06
157,2.9533005090343067e-06,2.9533005090343067e-06
158,2.9533005090343067e-06,2.9533005090343067e-06
159,2.9533005090343067e-06,2.9533005090343067e-06
160,2.9533005090343067e-06,2.9533005090343067e-06
161,2.9533005090343067e-06,2.9533005090343067e-06
162,2.9533005090343067e-06,2.9533005090343067e-06
163,2.9533005090343067e-06,2.9533005090343067e-06
164,2.9533005090343067e-06,2.9533005090343067e-06
165,2.9533005090343067e-06,2.9533005090343067e-06
166,2.9533005090343067e-06,2.9533005090343067e-06
167,2.9533005090343067e-06,2.9533005090343067e-06
168,2.9533005090343067e-06,2.9533005090343067e-06
169,2.9533005090343067e-06,2.9533005090343067e-06
170,2.9533005090343067e-06,2.9533005090343067e-06
171,2.9533005090343067e-06,2.9533005090343067e-06
172,2.9533005090343067e-06,2.9533005090343067e-06
173,2.9533005090343067e-06,2.9533005090343067e-06
174,2.9533005090343067e-06,2.9533005090343067e-06
175,2.9533005090343067e-06,2.9533005090343067e-06
176,2.9533005090343067e-06,2.9533005090343067e-06
177,2.9533005090343067e-06,2.9533005090343067e-06
178,2.9533005090343067e-06,2.9533005090343067e-06
179,2.9533005090343067e-06,2.9533005090343067e-06
180,2.9533005090343067e-06,2.9533005090343067e-06
181,2.9533005090343067e-06,2.9533005090343067e-06
182,2.9533005090343067e-06,2.9533005090343067e-06
183,2.9533005090343067e-06,2.9533005090343067e-06
184,2.9533005090343067e-06,2.9533005090343067e-06
185,2.9533005090343067e-06,2.9533005090343067e-06
186,2.9533005090343067e-06,2.9533005090343067e-06
