epoch,total_loss
0,3.238124636338629e-16
1,3.1065428325430017e-16
2,3.0634900007186377e-16
3,2.6919776442837573e-16
4,2.688694862217555e-16
5,2.508525395682849e-16
6,2.4951647744288923e-16
7,2.4486483719436463e-16
8,2.12124949140177e-16
