epoch,endogvar_q_cond_q_min,endogvar_q_cond_q_max,endogvar_psi_cond_psi_min,endogvar_psi_cond_psi_max,system_crisis_region,system_normal_region,total_loss
2000,5.153365236765239e-06,6.347220733005088e-06,0.00024146249052137136,3.857408614749147e-09,0.03251088038086891,0.0031350525096058846,0.060942623764276505
2100,4.1695025174703915e-06,5.955808774160687e-06,0.00021035270765423775,2.6398225827506394e-09,0.02646103873848915,0.0029848834965378046,0.051493991166353226
2200,3.283707883383613e-06,5.5470513871114235e-06,0.00018226764223072678,1.4734382602910046e-09,0.021359197795391083,0.0028208105359226465,0.043289996683597565
2300,2.5133801955234958e-06,5.077333753433777e-06,0.00015740576782263815,9.754899110703263e-10,0.017127234488725662,0.002652981085702777,0.036279961466789246
2400,1.8423093024466652e-06,4.574182639771607e-06,0.00013564697292167693,3.4583536034915596e-10,0.013850600458681583,0.002459550043568015,0.03051653318107128
2500,1.289288661610044e-06,3.999420187028591e-06,0.00011697871377691627,1.5076295767357806e-10,0.011407032608985901,0.0022466492373496294,0.025880439206957817
2600,8.414676813117694e-07,3.3895323667820776e-06,0.00010124018444912508,5.640288236463675e-11,0.009645018726587296,0.002011464675888419,0.022203607484698296
2700,4.961901822753134e-07,2.7579399102251045e-06,8.808822167338803e-05,2.6275870368408505e-11,0.008399554528295994,0.0017616660334169865,0.019295459613204002
2800,2.454546574881533e-07,2.129731910827104e-06,7.723606540821493e-05,3.2857872156455414e-07,0.007538795471191406,0.0014938083477318287,0.017026586458086967
2900,9.04596078044051e-08,1.5536434148089029e-06,6.830574420746416e-05,8.32851014820335e-07,0.006876811850816011,0.0012472765520215034,0.015202357433736324
3000,1.4439137885347009e-08,1.0640293339747586e-06,6.068950824555941e-05,1.9653271010611206e-08,0.006392632611095905,0.0010203452548012137,0.01359174121171236
3100,1.7909229654833325e-09,6.767749027858372e-07,5.391349986894056e-05,3.226926537536201e-06,0.006055532023310661,0.0008239533635787666,0.012661384418606758
3200,3.14226014097585e-08,4.0099257603287697e-07,4.889993942924775e-05,1.6118306689349993e-10,0.00569622777402401,0.0006722463294863701,0.011301725171506405
3300,8.205928736515489e-08,2.2251141729157098e-07,4.41906631749589e-05,1.3343438354240789e-08,0.005456908140331507,0.0005532540963031352,0.010461019352078438
3400,1.3630211981308094e-07,1.1803427923950949e-07,3.987156742368825e-05,3.234737278035027e-07,0.005272178910672665,0.00046936183935031295,0.009786478243768215
3500,1.8172522686654702e-07,5.954645132533187e-08,3.620059942477383e-05,5.2223313673493976e-08,0.005058951675891876,0.00042066338937729597,0.009129025042057037
3600,2.145980602108466e-07,3.0458068067673594e-08,3.308701343485154e-05,1.9877575141435955e-09,0.004911568481475115,0.00038143934216350317,0.008626413531601429
3700,2.3574854424168734e-07,1.566746732351021e-08,3.018869574589189e-05,9.606537787476555e-12,0.0047624134458601475,0.00035497068893164396,0.008161395788192749
3800,2.475854330441507e-07,8.316547450704093e-09,2.7521502488525584e-05,2.5067947717616335e-11,0.004581088665872812,0.00034359516575932503,0.007702426519244909
3900,2.525930540286936e-07,4.504400408222864e-09,2.513604522391688e-05,2.8776980798284058e-11,0.004390486516058445,0.00033651944249868393,0.007266323082149029
4000,2.5391284452780383e-07,2.4239312779172906e-09,2.2970214558881707e-05,3.007016857736744e-11,0.004191214218735695,0.00033214964787475765,0.006846021860837936
4100,2.5319252472399967e-07,1.2450982467271388e-09,2.0990584744140506e-05,2.8776980798284058e-11,0.003982624039053917,0.0003293584450148046,0.006436487659811974
