epoch,endogeq_1,endogeq_2,endogeq_3,hjbeq_1,hjbeq_2,total_loss
0,0.00025039847241714597,2.10212401684836e-17,2.7323181711835787e-05,0.000722679600585252,5.016265276935883e-05,0.0010505638783797622
1,0.0002127911866409704,2.0480005967522802e-17,4.821597758564167e-05,0.00037450523814186454,5.468203380587511e-05,0.0006901944288983941
2,0.00019717708346433938,2.0596856809574493e-17,4.253830775269307e-05,0.0002779450442176312,6.150665285531431e-05,0.0005791670409962535
3,0.0001711621298454702,2.062877605505169e-17,4.856462692259811e-05,0.0002831021847669035,5.220084130996838e-05,0.0005550298374146223
4,0.00017222363385371864,2.1928291686623522e-17,4.2915424273815006e-05,0.0002749959530774504,5.089904516353272e-05,0.0005410340963862836
5,0.00016153018805198371,2.1965485035686356e-17,4.667602479457855e-05,0.00026582719874568284,5.0818365707527846e-05,0.0005248517845757306
6,0.00016384769696742296,2.049665876761472e-17,4.192287815385498e-05,0.000266715360339731,5.134005914442241e-05,0.0005238259909674525
7,0.00016079725173767656,2.117750285800099e-17,4.353981785243377e-05,0.00026287592481821775,5.155062171979807e-05,0.0005187636124901474
8,0.00016237988893408328,2.0120293243264317e-17,4.0084760257741436e-05,0.000263569294475019,5.18313427164685e-05,0.0005178652936592698
9,0.00016004782810341567,2.058214622956085e-17,4.1474326280876994e-05,0.00025940692285075784,5.181929373065941e-05,0.0005127483746036887
10,0.00016107723058667034,2.0993484950209994e-17,3.937462315661833e-05,0.0002587157068774104,5.185308327781968e-05,0.0005110206548124552
11,0.00015916317352093756,2.0482504052972712e-17,4.0222847019322217e-05,0.000258465064689517,5.186199632589705e-05,0.000509713077917695
12,0.0001596717193024233,2.065930729146102e-17,3.9074748201528564e-05,0.00025759675190784037,5.177105776965618e-05,0.0005081142880953848
13,0.00015952391549944878,2.051497750946032e-17,3.890483276336454e-05,0.00025698146782815456,5.1829432777594775e-05,0.0005072396597824991
14,0.00015824830916244537,2.2561395875136908e-17,3.95267634303309e-05,0.00025666833971627057,5.178380888537504e-05,0.0005062272539362311
15,0.00015806383453309536,2.158495548413236e-17,3.9773800381226465e-05,0.00025550121790729463,5.171369411982596e-05,0.0005050525069236755
16,0.00015832805365789682,1.9288736845270884e-17,3.8918060454307124e-05,0.0002553363738115877,5.1671751862159e-05,0.0005042542470619082
17,0.00015824075671844184,2.044170254207792e-17,3.875197944580577e-05,0.0002544878807384521,5.170292570255697e-05,0.0005031835753470659
18,0.00015721489035058767,2.0320411394498046e-17,3.916645800927654e-05,0.0002542600850574672,5.166388291399926e-05,0.0005023053381592035
19,0.00015700251969974488,2.1032064653979468e-17,3.936094799428247e-05,0.00025349154020659626,5.16155814693775e-05,0.0005014705820940435
20,0.00015704658289905638,2.0971002181160803e-17,3.875033144140616e-05,0.00025307401665486395,5.158934072824195e-05,0.0005004602717235684
21,0.00015696465561632067,2.0514423298449908e-17,3.8593676435993984e-05,0.0002526648750063032,5.161285662325099e-05,0.0004998360527679324
22,0.00015615075244568288,2.0835276731891877e-17,3.882985038217157e-05,0.00025213666958734393,5.1599268772406504e-05,0.0004987165448255837
23,0.00015596917364746332,2.1268542356218577e-17,3.89287706639152e-05,0.0002517916145734489,5.1574348617577925e-05,0.0004982639220543206
24,0.000155924484715797,2.0645706787829425e-17,3.8616930396528915e-05,0.00025184443802572787,5.156647603143938e-05,0.0004979523364454508
25,0.00015592393174301833,2.197769753025009e-17,3.8395246519939974e-05,0.00025116224423982203,5.1586706831585616e-05,0.0004970681038685143
26,0.00015583704225718975,1.9698409624166347e-17,3.825651583611034e-05,0.0002510306076146662,5.1610200898721814e-05,0.0004967343993484974
27,0.00015565002104267478,2.213090792330716e-17,3.8219979614950716e-05,0.00025120258214883506,5.162494562682696e-05,0.0004966975538991392
28,0.0001554089831188321,2.1496692004050503e-17,3.82787584385369e-05,0.00025088232359848917,5.1625687774503604e-05,0.0004961957456544042
29,0.00015519032604061067,2.0445588636595696e-17,3.837153417407535e-05,0.00025032489793375134,5.1616792916320264e-05,0.0004955035401508212
30,0.00015505099145229906,2.1087020879516266e-17,3.838867269223556e-05,0.0002501840644981712,5.160854198038578e-05,0.0004952322924509645
31,0.00015499758592341095,1.951605434940658e-17,3.827428008662537e-05,0.00025017940788529813,5.161025910638273e-05,0.0004950615111738443
32,0.00015498610446229577,2.1286861098064177e-17,3.808354813372716e-05,0.0002498517569620162,5.162468005437404e-05,0.0004945460823364556
33,0.00015495064144488424,2.0914380013870323e-17,3.791069320868701e-05,0.00024949488579295576,5.1646751671796665e-05,0.000494002946652472
34,0.00015484486357308924,2.1989910024813822e-17,3.7809499190188944e-05,0.0002494359214324504,5.1667404477484524e-05,0.0004937576595693827
35,0.0001546693529235199,1.9828583037163817e-17,3.779175312956795e-05,0.0002493553620297462,5.167900962987915e-05,0.0004934954922646284
36,0.00015446654288098216,2.0128065432299865e-17,3.783623469644226e-05,0.00024901237338781357,5.168040661374107e-05,0.0004929955466650426
37,0.0001542926038382575,2.0063394797649245e-17,3.787903187912889e-05,0.0002487066085450351,5.167690324014984e-05,0.0004925551475025713
38,0.00015418078692164272,2.068290013689226e-17,3.784801810979843e-05,0.0002486008743289858,5.167635754332878e-05,0.0004923060187138617
39,0.0001541242963867262,2.180838854811151e-17,3.773152639041655e-05,0.0002484344586264342,5.1683840865734965e-05,0.0004919741186313331
40,0.00015408170293085277,1.9870216691754836e-17,3.7585548852803186e-05,0.00024814732023514807,5.16987347509712e-05,0.0004915132885798812
41,0.00015400655684061348,2.162658913872338e-17,3.747200753423385e-05,0.00024795581703074276,5.171566954231821e-05,0.0004911500145681202
42,0.0001538759534014389,2.171013272623001e-17,3.742058834177442e-05,0.00024785310961306095,5.172816236154176e-05,0.0004908778355456889
43,0.0001537031348561868,2.2252754936258672e-17,3.7429086660267785e-05,0.000247645570198074,5.173295721760951e-05,0.0004905107198283076
44,0.0001535270712338388,2.0812517684518093e-17,3.746369111468084e-05,0.0002473703061696142,5.1731938583543524e-05,0.0004900930216535926
45,0.00015338629600591958,1.9788891602651072e-17,3.746901347767562e-05,0.00024718622444197536,5.1730585255427286e-05,0.0004897721228189766
46,0.00015329199959523976,2.112282456515001e-17,3.7410623917821795e-05,0.0002470336330588907,5.1733837608480826e-05,0.0004894700832664967
47,0.00015322663239203393,1.9649837578597233e-17,3.7306184822227806e-05,0.0002468177699483931,5.174311445443891e-05,0.0004890937125310302
48,0.00015315529890358448,1.934535735820014e-17,3.720337190316059e-05,0.00024660336202941835,5.1755741878878325e-05,0.0004887177492491901
49,0.00015304939006455243,1.9307609798126894e-17,3.713880505529232e-05,0.00024645740631967783,5.1767088734777644e-05,0.0004884126828983426
50,0.0001529054861748591,2.1433409378467746e-17,3.7122415960766375e-05,0.0002462893899064511,5.177350976737216e-05,0.00048809079453349113
51,0.00015274524048436433,2.0696222707838038e-17,3.7137513572815806e-05,0.0002460614196024835,5.177519778953865e-05,0.0004877193714492023
52,0.00015259937208611518,1.9993450059412986e-17,3.7147121474845335e-05,0.00024586202926002443,5.177517596166581e-05,0.00048738368786871433
53,0.0001524866820545867,2.159577996962823e-17,3.7116835301276296e-05,0.000245693459874019,5.177751518203877e-05,0.000487074488773942
54,0.00015240338689181954,2.0456691054777382e-17,3.704415212268941e-05,0.0002455066132824868,5.178429637453519e-05,0.00048673845594748855
55,0.00015232677105814219,1.9778900915212657e-17,3.695818304549903e-05,0.0002453079796396196,5.179442450753413e-05,0.00048638737644068897
56,0.0001522324891993776,2.0742018735271424e-17,3.689190634759143e-05,0.0002451419713906944,5.180439984542318e-05,0.0004860707849729806
57,0.000152108957991004,2.1035672815811424e-17,3.686073250719346e-05,0.00024497328558936715,5.181172309676185e-05,0.00048575468827039003
58,0.0001519663055660203,2.1252165834451253e-17,3.685840420075692e-05,0.0002447807346470654,5.181565211387351e-05,0.00048542110016569495
59,0.00015182654897216707,2.1253553843519116e-17,3.6860928958049044e-05,0.0002445841964799911,5.1817834901157767e-05,0.0004850895202253014
60,0.00015170822734944522,2.2368773634614134e-17,3.6840025131823495e-05,0.0002444114943500608,5.18212873430457e-05,0.00048478104872629046
61,0.00015161396004259586,2.154193382047348e-17,3.678640132420696e-05,0.0002442319237161428,5.182788663660176e-05,0.000484460178995505
62,0.00015153091226238757,2.1701528393498235e-17,3.6715850001201034e-05,0.0002440487005515024,5.1837312639690936e-05,0.0004841327900066972
63,0.0001514386385679245,1.9995116001166667e-17,3.665383337647654e-05,0.00024387615849263966,5.1847408030880615e-05,0.0004838160239160061
64,0.0001513267052359879,1.9735047107857545e-17,3.6616263969335705e-05,0.00024371298786718398,5.1856019126717e-05,0.0004835119761992246
65,0.00015119787713047117,2.1053713624971205e-17,3.6602279578801244e-05,0.0002435291971778497,5.186207636143081e-05,0.0004831914266105741
66,0.0001510670845163986,2.1808664826436103e-17,3.659591675386764e-05,0.0002433468180242926,5.186695125303231e-05,0.0004828767559956759
67,0.00015094941772986203,2.2595535273378196e-17,3.657605702755973e-05,0.00024317172938026488,5.1872528274543583e-05,0.00048256973968818784
68,0.0001508500863565132,2.0299040356192126e-17,3.653211388154887e-05,0.0002430011663818732,5.1880444516427815e-05,0.00048226380022242665
69,0.00015076117415446788,2.125743993803689e-17,3.647286939667538e-05,0.0002428222942398861,5.189060902921483e-05,0.00048194697592407465
70,0.00015066872583702207,2.0345392248997147e-17,3.641669900389388e-05,0.0002426571154501289,5.190150113776326e-05,0.0004816440341528505
71,0.0001505629625171423,2.0010936657562357e-17,3.637722329585813e-05,0.00024248908448498696,5.1911352784372866e-05,0.00048134062672033906
72,0.00015044413157738745,1.9434176703653633e-17,3.635594475781545e-05,0.00024231578572653234,5.1919621910201386e-05,0.00048103550216183066
73,0.00015032186638563871,1.9489409207515023e-17,3.63414001185447e-05,0.00024214092991314828,5.192691969568841e-05,0.0004807311051990837
74,0.0001502084924140945,2.103373059573315e-17,3.6318288039183244e-05,0.0002419706725049764,5.1934821385657415e-05,0.00048043226706795394
75,0.00015010849165264517,1.950384185484285e-17,3.6277921026339754e-05,0.0002418018993921578,5.1944454753538594e-05,0.0004801327595487237
76,0.0001500169892096892,1.984579170262737e-17,3.622537769842893e-05,0.00024163398484233767,5.195578341954388e-05,0.0004798321460839361
77,0.0001499241916462779,2.066263752060716e-17,3.617420225054957e-05,0.00024147094518411905,5.196772326598875e-05,0.0004795370332431048
78,0.00014982206630520523,2.0725088002493688e-17,3.6134806578047574e-05,0.0002413059992250055,5.1978939154651016e-05,0.0004792418039869517
79,0.00014971030759625137,1.9113877481222074e-17,3.610891872085631e-05,0.000241137677221559,5.1988761697430164e-05,0.00047894567251205444
80,0.00014959642430767417,2.0842770988241608e-17,3.608809856814332e-05,0.00024097037385217845,5.199799488764256e-05,0.0004786528879776597
81,0.00014948798343539238,2.1020684303111963e-17,3.606145401136018e-05,0.00024080523871816695,5.200763189350255e-05,0.0004783623153343797
82,0.0001493892486905679,2.051747559491023e-17,3.602253855206072e-05,0.00024064145691227168,5.201865133130923e-05,0.00047807188821025193
83,0.00014929688768461347,1.8643142229507947e-17,3.5975102946395054e-05,0.00024048052728176117,5.203082400839776e-05,0.0004777833237312734
84,0.00014920315879862756,2.012695535591782e-17,3.592898792703636e-05,0.0002403174148639664,5.20432076882571e-05,0.00047749278019182384
85,0.00014910291065461934,2.0642930769693697e-17,3.589210973586887e-05,0.00024016138922888786,5.2054881962249056e-05,0.0004772112879436463
