epoch,endogeq_1,endogeq_2,hjbeq_1,hjbeq_2,total_loss
0,0.030382372438907623,0.01266788225620985,0.11650673300027847,0.11988892406225204,0.27944591641426086
100,0.001011240528896451,0.0004332579846959561,0.0015134232817217708,0.001537896110676229,0.004495818167924881
200,0.0009496840066276491,0.00013800217129755765,0.0008096953388303518,0.0014263687189668417,0.003323750104755163
300,0.0006140179466456175,0.00015295858611352742,0.0007172867190092802,0.001280322321690619,0.002764585427939892
400,0.0002927990863099694,8.451445319224149e-05,0.0006679499056190252,0.0006818621186539531,0.001727125491015613
500,0.00017752851999830455,5.888494706596248e-05,0.00017057762306649238,0.00016572764434386045,0.0005727187381125987
600,0.00014679634477943182,5.372166560846381e-05,0.00013545977708417922,0.0001588723825989291,0.0004948501591570675
700,0.0001263708109036088,4.869732219958678e-05,0.00015222637739498168,0.0001311495725531131,0.000458444090327248
800,0.00010532176384003833,4.758427166962065e-05,0.0001722612214507535,0.00014337331231217831,0.00046854058746248484
900,8.688086381880566e-05,4.901996726403013e-05,0.00010710273636505008,0.00011527424794621766,0.0003582778153941035
1000,8.130545757012442e-05,4.18231611547526e-05,0.00025984575040638447,0.00012438013800419867,0.0005073545034974813
1100,7.065141835482791e-05,4.571531462715939e-05,0.00010311267396900803,0.00010821374598890543,0.00032769315293990076
1200,6.579102773685008e-05,3.4742188290692866e-05,0.0001182090854854323,9.215443424182013e-05,0.00031089672120288014
1300,6.60793884890154e-05,3.0778974178247154e-05,8.937053644331172e-05,6.940005550859496e-05,0.00025562895461916924
1400,6.142419442767277e-05,2.8439955713110976e-05,0.00011030723544536158,5.647897705784999e-05,0.0002566503535490483
1500,5.707071250071749e-05,3.06551119138021e-05,6.987442611716688e-05,5.760165731771849e-05,0.00021520191512536258
1600,5.4600917792413384e-05,2.4902708901208825e-05,8.24812741484493e-05,5.508425601874478e-05,0.0002170691586798057
1700,5.009059896110557e-05,2.5978311896324158e-05,6.773827044526115e-05,5.3597519581671804e-05,0.0001974047045223415
1800,4.730069122160785e-05,2.4338087314390577e-05,8.583123417338356e-05,6.14463206147775e-05,0.0002189163351431489
1900,4.712774170911871e-05,2.251992918900214e-05,9.048752690432593e-05,6.101123653934337e-05,0.00022114643070381135
2000,4.167551742284559e-05,2.200211565650534e-05,0.00016048888210207224,6.489652150776237e-05,0.0002890630275942385
2100,3.5350851248949766e-05,2.3933795091579668e-05,3.6235491279512644e-05,4.520902075455524e-05,0.00014072915655560791
2200,3.356337401783094e-05,2.3379527192446403e-05,3.449146606726572e-05,4.4375326979206875e-05,0.00013580969243776053
2300,3.0535447876900434e-05,2.2765536414226517e-05,3.0287714253063314e-05,4.259660272509791e-05,0.00012618530308827758
2400,2.9634755264851265e-05,1.9664052160806023e-05,0.00011001598613802344,5.2250325097702444e-05,0.00021156511502340436
2500,2.9000811991863884e-05,2.339006277907174e-05,2.283786488987971e-05,4.1072184103541076e-05,0.00011630092194536701
2600,2.8081010896130465e-05,2.1312594981282018e-05,2.6691168386605568e-05,3.953657142119482e-05,0.00011562134750420228
2700,2.629943992360495e-05,2.281783235957846e-05,2.3163309379015118e-05,3.902114258380607e-05,0.0001113017278839834
2800,2.9021726732025854e-05,2.170298103010282e-05,2.956522257591132e-05,4.5047036110190675e-05,0.00012533697008620948
2900,2.543954542488791e-05,2.253630373161286e-05,5.8070741943083704e-05,5.5106756917666644e-05,0.00016115335165522993
3000,2.3908907678560354e-05,2.17458564293338e-05,2.016173857555259e-05,3.7796202377649024e-05,0.00010361270688008517
3100,2.5482280761934817e-05,1.9111475921818055e-05,7.762523455312476e-05,4.9879054131451994e-05,0.00017209805082529783
3200,2.1920455765211955e-05,2.008319461310748e-05,3.155500962748192e-05,4.020175038021989e-05,0.00011376041220501065
3300,2.4498755010426976e-05,2.2653786800219677e-05,3.091742837568745e-05,3.7510180845856667e-05,0.00011558015103219077
3400,3.150897100567818e-05,2.254393075418193e-05,7.639610703336075e-05,7.55548826418817e-05,0.00020600389689207077
3500,2.1679114070138894e-05,2.2925138182472438e-05,2.6590805646264926e-05,4.5101682189852e-05,0.00011629673826973885
3600,2.6630639695213176e-05,2.004922498599626e-05,0.000286043097730726,0.00010673143697204068,0.0004394543939270079
