epoch,endogvar_q_cond_q_min,endogvar_q_cond_q_max,endogvar_psi_cond_psi_min,endogvar_psi_cond_psi_max,endogeq_1,endogeq_2,hjbeq_1,hjbeq_2,total_loss
0,0.042711418122053146,0.4864506721496582,0.4301992356777191,0.11939461529254913,0.017380937933921814,0.03997846692800522,0.116508349776268,0.11989771574735641,0.3045530319213867
1,0.03772418573498726,0.46747955679893494,0.41987162828445435,0.12116655707359314,0.016365746036171913,0.038956169039011,0.11198379844427109,0.1153980940580368,0.29316622018814087
2,0.032824061810970306,0.44802945852279663,0.4103851318359375,0.12225164473056793,0.015365885570645332,0.03790935128927231,0.1074259877204895,0.11090050637722015,0.2817366123199463
3,0.027768690139055252,0.42683055996894836,0.4014814794063568,0.12211248278617859,0.01433516014367342,0.03674963116645813,0.10250547528266907,0.10607984662055969,0.2694520354270935
4,0.022440338507294655,0.4028030335903168,0.39299261569976807,0.1202399730682373,0.013237298466265202,0.035410501062870026,0.096999891102314,0.10069353133440018,0.2557259798049927
5,0.016840104013681412,0.37486034631729126,0.38497382402420044,0.11606641858816147,0.01204244140535593,0.03383577615022659,0.09074453264474869,0.09456382691860199,0.2401139885187149
6,0.011122465133666992,0.34188708662986755,0.3777569532394409,0.10892681777477264,0.010726175270974636,0.03197751194238663,0.08361376821994781,0.08756520599126816,0.2222796082496643
7,0.005709180608391762,0.3028683364391327,0.37184008955955505,0.09816022962331772,0.0092713488265872,0.02980564720928669,0.07554347068071365,0.07964114099740982,0.20204737782478333
8,0.0014775925083085895,0.2571251392364502,0.3676947355270386,0.0833691954612732,0.007670869119465351,0.02732323482632637,0.06655717641115189,0.0708271712064743,0.1794751137495041
9,6.40836515231058e-05,0.20473052561283112,0.3657326400279999,0.06467363983392715,0.005940064322203398,0.02457798272371292,0.05678704008460045,0.06127272918820381,0.15492981672286987
10,0.0043495730496943,0.1472312957048416,0.3664869964122772,0.04302073270082474,0.004142452962696552,0.021670542657375336,0.04648679867386818,0.05125657841563225,0.12916725873947144
11,0.019208934158086777,0.08889440447092056,0.37065958976745605,0.0208954568952322,0.0024268191773444414,0.018766561523079872,0.03604058921337128,0.04119572788476944,0.10342627763748169
12,0.05258971080183983,0.03868377208709717,0.37898966670036316,0.0037188425194472075,0.001080912072211504,0.01611783169209957,0.025979643687605858,0.03165305405855179,0.07957126200199127
13,0.11671534925699234,0.01285110879689455,0.3917867839336395,0.002469835337251425,0.0005957521498203278,0.014112073928117752,0.017026366665959358,0.023358574137091637,0.06033100187778473
14,0.227970689535141,0.03624039515852928,0.4059864580631256,0.03689255565404892,0.0016938380431383848,0.013344157487154007,0.010159408673644066,0.017238466069102287,0.049506776034832
15,0.6212158799171448,0.1822890043258667,0.1561051458120346,0.04504230245947838,0.014892852865159512,0.006678743753582239,0.0019811969250440598,0.008137845434248447,0.041737161576747894
16,0.4973089098930359,0.10387599468231201,0.12473764270544052,0.03389129415154457,0.010752594098448753,0.00662467023357749,0.0022357096895575523,0.007528774905949831,0.03473988547921181
17,0.3886294364929199,0.052194204181432724,0.09997484087944031,0.029495572671294212,0.0073702773079276085,0.006905411370098591,0.0026422266382724047,0.0070749083533883095,0.029695764183998108
18,0.30055055022239685,0.0241776742041111,0.081349216401577,0.029948977753520012,0.004912685137242079,0.007380632683634758,0.0030744834803044796,0.006622907239943743,0.026350973173975945
19,0.23257040977478027,0.0135022709146142,0.06798673421144485,0.03390057012438774,0.0032987745944410563,0.007947090081870556,0.0034506225492805243,0.006035338621586561,0.024211425334215164
20,0.18162387609481812,0.013881156221032143,0.05889228358864784,0.03980647772550583,0.002349168062210083,0.008529930375516415,0.0037453642580658197,0.005231800023466349,0.02279829978942871
21,0.1440708488225937,0.020378801971673965,0.05314009636640549,0.04537413641810417,0.0018660915084183216,0.009069841355085373,0.003975689876824617,0.004217418376356363,0.021758679300546646
22,0.11662255972623825,0.029595209285616875,0.04994578659534454,0.0479365736246109,0.0016696029342710972,0.009518987499177456,0.004168730229139328,0.0030978149734437466,0.02089613676071167
23,0.09663766622543335,0.03939470648765564,0.04866646230220795,0.04572916775941849,0.0016161712119355798,0.00985126756131649,0.004326023161411285,0.002081071026623249,0.020178813487291336
24,0.08212440460920334,0.048540908843278885,0.048773229122161865,0.038912296295166016,0.0016083938535302877,0.010074984282255173,0.004408281296491623,0.0014563258737325668,0.019731493666768074
25,0.053750600665807724,0.06910395622253418,0.05644717067480087,0.0002336237084819004,0.0011792531004175544,0.011531568132340908,0.003221783321350813,0.0019696627277880907,0.01969762146472931
26,0.055051449686288834,0.06664197891950607,0.05678250640630722,0.00023826384858693928,0.0011526020243763924,0.011461996473371983,0.0030860474798828363,0.0016411032993346453,0.019128892570734024
27,0.05716976150870323,0.06337510049343109,0.0572097972035408,0.0006563892238773406,0.0011530340416356921,0.011224170215427876,0.002929922193288803,0.0015784046845510602,0.018669642508029938
28,0.06006840616464615,0.059459980577230453,0.05782422050833702,0.002012900309637189,0.0011783731169998646,0.010847131721675396,0.002770701888948679,0.0016677806852385402,0.018257642164826393
29,0.0637187510728836,0.05505407229065895,0.0586727112531662,0.005132750142365694,0.0012248624116182327,0.010375297628343105,0.002635179553180933,0.0017869789153337479,0.017848100513219833
30,0.06808093935251236,0.05032610893249512,0.05977039784193039,0.010787943378090858,0.0012870407663285732,0.009858363308012486,0.002539896173402667,0.0018584169447422028,0.017433371394872665
31,0.07309027761220932,0.04545539617538452,0.061113640666007996,0.019262472167611122,0.0013570302398875356,0.009342542849481106,0.0024792375043034554,0.0018592039123177528,0.01702723279595375
32,0.0786510705947876,0.04062201455235481,0.06268370151519775,0.029927823692560196,0.0014240812743082643,0.008862072601914406,0.0024309316650032997,0.00180861447006464,0.016644546762108803
33,0.08463744819164276,0.03599204123020172,0.06443864852190018,0.0410633459687233,0.0014755866723135114,0.0084320567548275,0.0023757186718285084,0.0017480991082265973,0.01629277691245079
34,0.0908999890089035,0.031703393906354904,0.06629529595375061,0.05023689940571785,0.0015005561290308833,0.008047555573284626,0.0023136702366173267,0.0017206992488354445,0.015973836183547974
35,0.09727469831705093,0.02785637229681015,0.06811073422431946,0.055293988436460495,0.001494722906500101,0.007693800143897533,0.0022628491278737783,0.0017535865772515535,0.015690317377448082
36,0.1035909354686737,0.024510808289051056,0.06967851519584656,0.055397890508174896,0.0014638552675023675,0.007362779229879379,0.0022433956619352102,0.0018480541184544563,0.015449865721166134
37,0.10967519879341125,0.021689660847187042,0.07074765115976334,0.051331911236047745,0.0014220306184142828,0.007061763666570187,0.0022618162911385298,0.001980638364329934,0.015260693617165089
38,0.115350142121315,0.01938623934984207,0.07106026262044907,0.04490268975496292,0.0013856356963515282,0.006806292571127415,0.0023073176853358746,0.0021144754718989134,0.015120715834200382
39,0.12043136358261108,0.01757146045565605,0.07040098309516907,0.03801986947655678,0.0013670236803591251,0.006606183480471373,0.0023605460301041603,0.0022147868294268847,0.015012776479125023
40,0.12472698092460632,0.016199396923184395,0.06864936649799347,0.032071102410554886,0.0013710502535104752,0.006457534618675709,0.002405840903520584,0.002260849578306079,0.014911743812263012
41,0.12804538011550903,0.015211822465062141,0.06582032889127731,0.027781404554843903,0.0013951228465884924,0.006345023401081562,0.002437353366985917,0.002249822486191988,0.014795910567045212
42,0.13021382689476013,0.014543388970196247,0.06207452714443207,0.025393035262823105,0.0014316273154690862,0.006249804515391588,0.0024562336038798094,0.0021928129717707634,0.014652726240456104
43,0.13110561668872833,0.01412913203239441,0.05769108235836029,0.024923019111156464,0.0014712533447891474,0.0061566829681396484,0.0024634001310914755,0.002107044914737344,0.014476870186626911
44,0.1306694597005844,0.013913117349147797,0.053012922406196594,0.026340903714299202,0.0015060997102409601,0.006057600025087595,0.0024545553606003523,0.0020086197182536125,0.01426623947918415
45,0.128952294588089,0.013855169527232647,0.04838436841964722,0.0296140369027853,0.0015318217920139432,0.005951615050435066,0.002421570708975196,0.0019086017273366451,0.014021668583154678
46,0.12610618770122528,0.013932237401604652,0.04409997910261154,0.03462648764252663,0.0015482702292501926,0.005842418875545263,0.0023591462522745132,0.0018128546653315425,0.013750338926911354
47,0.12237481027841568,0.014132997952401638,0.04037490114569664,0.041012972593307495,0.0015583476051688194,0.005734041333198547,0.002270589116960764,0.001724360277876258,0.01346629485487938
48,0.11805941164493561,0.014447721652686596,0.03733697161078453,0.04799414426088333,0.0015653931768611073,0.005625666119158268,0.002166715217754245,0.0016460786573588848,0.01318223588168621
49,0.113472580909729,0.014858664944767952,0.03503325581550598,0.05435656011104584,0.0015703539829701185,0.005507992580533028,0.0020581476856023073,0.0015825622249394655,0.012896266765892506
