epoch,endogeq_1,constraint_1,hjbeq_1,hjbeq_2,total_loss
0,0.030382372438907623,0.013976461254060268,0.11652708798646927,0.1199401319026947,0.28082606196403503
100,0.0016988536808639765,0.00318426382727921,0.00024268905690405518,0.003536082338541746,0.008661888539791107
200,0.0012468865606933832,0.000339472753694281,0.0009209600393660367,0.0009084662306122482,0.0034157857298851013
300,0.0005376210319809616,0.0002421983372187242,0.0009476184495724738,0.0006664485554210842,0.00239388644695282
400,0.0002621945459395647,0.00016672741912771016,0.0007287933258339763,0.00035518239019438624,0.0015128976665437222
500,0.00018456514226272702,0.0001447726390324533,0.0006394591764546931,0.00032225047471001744,0.0012910474324598908
600,0.00012037905980832875,7.996307977009565e-05,0.0003037789138033986,0.0002682563499547541,0.0007723774178884923
700,8.562571747461334e-05,5.131238140165806e-05,0.00018034674576483667,0.00019663335115183145,0.0005139181739650667
800,8.719649486010894e-05,3.6700763303088024e-05,0.00017029955051839352,0.00018058475689031184,0.00047478158376179636
900,9.038935968419537e-05,3.187418406014331e-05,0.00015960278687998652,0.00015811077901162207,0.0004399771278258413
1000,9.025356848724186e-05,2.9850940336473286e-05,0.00015066236665006727,0.0001478007761761546,0.00041856765164993703
1100,9.044900070875883e-05,2.9147446184651926e-05,0.0001457398757338524,0.0001334434055024758,0.0003987796953879297
1200,9.300611418439075e-05,2.6979165340890177e-05,0.00013272422074805945,0.00012891578080598265,0.0003816252574324608
1300,9.346423030365258e-05,2.509846854081843e-05,0.00013253118959255517,0.00013477481843438,0.0003858687123283744
1400,8.990953938337043e-05,3.0055125535000116e-05,0.00012964145571459085,0.00015771079051773995,0.0004073168965987861
1500,8.441636600764468e-05,3.1307201425079256e-05,0.00011549369810381904,9.234037133865058e-05,0.0003235576441511512
1600,9.592208516551182e-05,2.1977160940878093e-05,0.00011315462325001135,0.00012332884944044054,0.00035438273334875703
1700,7.744075992377475e-05,2.7619376851362176e-05,0.00011381421063560992,6.724653212586418e-05,0.0002861208631657064
1800,8.572787191951647e-05,2.2535152311320417e-05,0.0001146009162766859,0.00013140577357262373,0.00035426972317509353
1900,9.174628939945251e-05,3.146533708786592e-05,0.00011994000669801608,0.0001374168787151575,0.0003805684973485768
2000,7.289961649803445e-05,2.557328662078362e-05,0.00010495605238247663,5.203093314776197e-05,0.00025545989046804607
2100,6.851440411992371e-05,2.3782175048836507e-05,0.00010383017070125788,7.286285836016759e-05,0.0002689896209631115
2200,6.498311267932877e-05,1.7764634321792983e-05,0.00011772190919145942,8.859860099619254e-05,0.00028906826628372073
2300,5.77805913053453e-05,2.1560599634540267e-05,0.0001040524075506255,5.631064050248824e-05,0.0002397042408119887
2400,5.473477722262032e-05,2.482413583493326e-05,9.89548207144253e-05,4.7452391299884766e-05,0.00022596612689085305
2500,6.312172627076507e-05,2.2170810552779585e-05,9.896493429550901e-05,6.640350329689682e-05,0.0002506609889678657
2600,5.5240165238501504e-05,2.100726851494983e-05,0.00010477864270797,5.689719182555564e-05,0.00023792327556293458
2700,5.4350337450159714e-05,1.9026720110559836e-05,9.735653293319046e-05,4.054806049680337e-05,0.00021128164371475577
2800,4.6786939492449164e-05,2.5742432626429945e-05,0.0001042948424583301,6.231785664567724e-05,0.00023914207122288644
2900,5.664067066390999e-05,1.583833000040613e-05,0.00010357612336520106,6.457837298512459e-05,0.00024063349701464176
3000,5.569910354097374e-05,1.4119383195065893e-05,8.974135562311858e-05,4.346600690041669e-05,0.0002030258474405855
3100,4.929796705255285e-05,1.6503079677931964e-05,8.810698636807501e-05,3.912382453563623e-05,0.00019303186854813248
3200,5.494411016115919e-05,1.4666134120489005e-05,8.526376041118056e-05,5.4858777730260044e-05,0.00020973276696167886
3300,5.0707851187326014e-05,1.4048817320144735e-05,7.930660649435595e-05,4.5827571739209816e-05,0.00018989085219800472
3400,5.6260774726979434e-05,1.5102995348570403e-05,8.593165694037452e-05,7.257824472617358e-05,0.00022987367992755026
3500,4.676644675782882e-05,1.4451430615736172e-05,6.950215174583718e-05,3.692239260999486e-05,0.00016764242900535464
3600,4.169328531133942e-05,1.7697053408483043e-05,6.776827649446204e-05,5.547364708036184e-05,0.00018263226957060397
3700,4.7045850806171075e-05,1.1910467037523631e-05,6.552907143486664e-05,4.7314155381172895e-05,0.00017179954738821834
3800,4.364336564322002e-05,1.487806275690673e-05,7.46709483792074e-05,5.310711276251823e-05,0.00018629948317538947
3900,3.915988054359332e-05,1.6629210222163238e-05,6.51764712529257e-05,4.0757680835668e-05,0.00016172323375940323
4000,4.1961076931329444e-05,1.3052850590611342e-05,6.221294461283833e-05,2.4448485419270582e-05,0.00014167535118758678
4100,4.112876922590658e-05,1.5185962183750235e-05,6.437617412302643e-05,3.168964758515358e-05,0.00015238055493682623
4200,3.97048715967685e-05,1.4541905329679139e-05,6.057002246961929e-05,2.1282205125316978e-05,0.0001360989990644157
4300,4.2786108679138124e-05,1.2237753253430128e-05,6.35471660643816e-05,3.253179238527082e-05,0.00015110282402019948
4400,4.9104157369583845e-05,1.0649212526914198e-05,6.814559310441837e-05,4.4136952055851e-05,0.0001720359141472727
4500,3.858772834064439e-05,1.5120972420845646e-05,5.931195482844487e-05,3.480476516415365e-05,0.00014782541256863624
4600,4.189121682429686e-05,1.5228713891701773e-05,7.531379378633574e-05,4.6717112127225846e-05,0.00017915084026753902
4700,4.076002733199857e-05,1.1477131920401007e-05,5.7080102124018595e-05,2.2444186470238492e-05,0.00013176145148463547
4800,4.0300303226104006e-05,1.1882363651238848e-05,6.504695920739323e-05,3.749212919501588e-05,0.00015472175437025726
4900,3.958795059588738e-05,1.0680689229047857e-05,5.6622946431161836e-05,2.1440313503262587e-05,0.00012833189975935966
