epoch,endogvar_q_cond_q_min,endogvar_q_cond_q_max,endogvar_psi_cond_psi_min,endogvar_psi_cond_psi_max,endogeq_1,endogeq_2,total_loss
0,0.12001246958971024,0.15645501017570496,0.4957064688205719,0.08544983714818954,7.319671154022217,2.292891263961792,97.66783142089844
100,0.00019621531828306615,0.00010122663661604747,0.0015118659939616919,0.0007344275945797563,0.008708091452717781,0.46581438183784485,1.194710373878479
200,3.5635221138363704e-05,1.5961290955601726e-06,0.0007696207612752914,0.00010815870336955413,0.005398991052061319,0.49514997005462646,1.0872000455856323
300,1.3842283806297928e-05,6.221707735676318e-06,0.0006638922495767474,9.365688310936093e-05,0.0043289558961987495,0.4835738241672516,1.0492379665374756
400,1.048826288752025e-05,4.671579063142417e-06,0.0006083103362470865,3.901214950019494e-05,0.003260442055761814,0.49613630771636963,1.0617812871932983
500,8.084809451247565e-06,3.395680323592387e-06,0.0006328208255581558,1.1638547221082263e-05,0.002773457206785679,0.44515401124954224,0.9586754441261292
600,4.990143224858912e-06,1.2383654848235892e-06,0.0005933513748459518,8.082955901045352e-05,0.0017564918380230665,0.43298423290252686,0.9357659220695496
700,2.445431164233014e-06,1.1133353439163329e-07,0.0005858385120518506,8.448390872217715e-05,0.0010016715386882424,0.39204341173171997,0.852376401424408
800,8.290476785077772e-07,2.1581469411557919e-07,0.0005387451965361834,8.85373301571235e-05,0.0006681483937427402,0.3874783515930176,0.8384575843811035
900,1.0552447804457188e-07,1.4559714145434555e-06,0.0005384991527535021,3.499481681501493e-05,0.00111981644295156,0.3145085871219635,0.687642514705658
1000,3.860370725305984e-07,5.737900210078806e-06,0.00046183346421457827,4.694215749623254e-05,0.0030579189769923687,0.2746645212173462,0.6038769483566284
1100,3.214945536456071e-06,1.3570423107012175e-05,0.00043605617247521877,4.1999392124125734e-05,0.006617645267397165,0.22453126311302185,0.5051642656326294
1200,1.1185122275492176e-05,2.8843525797128677e-05,0.0003935173444915563,3.2877007470233366e-05,0.01395100075751543,0.16969676315784454,0.3999868333339691
1300,2.2516218450618908e-05,4.3599644413916394e-05,0.00030324465478770435,2.475142537150532e-05,0.024567244574427605,0.12609973549842834,0.3161779046058655
1400,3.6009088944410905e-05,5.167880226508714e-05,0.0002995006798300892,1.923863237607293e-05,0.03556029871106148,0.0912730023264885,0.25874900817871094
1500,4.6453384129563347e-05,5.127851909492165e-05,0.0002682089398149401,5.085395514470292e-06,0.04677671566605568,0.06685847043991089,0.21759627759456635
1600,5.4887634178157896e-05,5.1345123210921884e-05,0.00020459666848182678,1.884951052488759e-05,0.056863635778427124,0.05121183022856712,0.1922551989555359
1700,7.22233162377961e-05,6.1009082855889574e-05,0.00016033268184401095,5.332419277692679e-06,0.05317496880888939,0.058338314294815063,0.19974134862422943
1800,7.012147398199886e-05,5.4931802878854796e-05,0.00011929209722438827,7.1336221481033135e-06,0.043361395597457886,0.05361587554216385,0.175741046667099
1900,5.601678276434541e-05,3.3696822356432676e-05,0.00012507109204307199,0.00015179223555605859,0.043537575751543045,0.047814030200242996,0.17582333087921143
2000,4.8931171477306634e-05,3.045445555471815e-05,0.00014306485536508262,2.6307593543606345e-06,0.028566859662532806,0.04947260022163391,0.15002018213272095
2100,1.893448643386364e-05,9.813815267989412e-06,0.0001407619274687022,3.073667176067829e-05,0.010549874044954777,0.04233667254447937,0.11524790525436401
2200,1.950648083948181e-06,7.105290933395736e-07,0.00015693966997787356,2.118612485446647e-08,0.0030560162849724293,0.03497286140918732,0.08896394073963165
2300,8.714744126336882e-07,1.7318883749339875e-07,0.00011951270425925031,7.461429049726576e-06,0.0022577804047614336,0.030769476667046547,0.07659861445426941
2400,1.3335177300177747e-06,4.7066384922800353e-07,0.00013892073184251785,1.2933526249980787e-06,0.0019261249108240008,0.030975697562098503,0.07807934284210205
2500,2.6977102152159205e-07,1.7071721458705724e-07,0.00012527374201454222,9.112052794080228e-06,0.001582144876010716,0.028028376400470734,0.07112152874469757
2600,9.017804245559091e-07,3.345505774632329e-07,0.00013722262519877404,1.0607896911096759e-05,0.0014957820530980825,0.03654830902814865,0.0894990861415863
2700,4.157709554419853e-07,3.8455715412055724e-07,0.00013147587014827877,3.112745616817847e-06,0.0014306133380159736,0.02512732893228531,0.06522416323423386
2800,1.2849524466673756e-07,3.970768034378125e-07,0.00013395004498306662,1.6207201042561792e-05,0.0009963917545974255,0.025390155613422394,0.06684498488903046
2900,5.91978874808774e-08,1.5047186252559186e-07,0.00010905315866693854,1.1546007044671569e-05,0.001272251596674323,0.03350673243403435,0.0803665965795517
3000,6.093089268688345e-07,7.823985015420476e-07,0.00012414199591148645,9.399280315847136e-06,0.000753002823330462,0.022270485758781433,0.0587872713804245
3100,1.9898840264431783e-07,2.2116388720405666e-07,0.00014726830704603344,9.064614459930453e-06,0.0008437066571787,0.021339310333132744,0.05919763445854187
3200,6.865553814350278e-08,2.7574776595429284e-07,9.143219358520582e-05,3.582485533115687e-06,0.0009262761450372636,0.022469326853752136,0.05540083721280098
3300,8.95903440323309e-09,6.474820679613913e-07,0.00010116191697306931,6.691749376841472e-08,0.0009075088310055435,0.018798677250742912,0.04869338870048523
3400,4.406957998526195e-08,7.857763648644323e-07,9.050813969224691e-05,8.886047908163164e-06,0.0008153925300575793,0.017837785184383392,0.04651336744427681
3500,2.642273102537729e-07,1.2943706906298758e-07,0.00010713526717154309,3.1241133910953067e-06,0.0006891058292239904,0.021925082430243492,0.05560457706451416
