epoch,endogvar_q_cond_q_min,endogvar_q_cond_q_max,endogvar_psi_cond_psi_min,endogvar_psi_cond_psi_max,endogeq_1,endogeq_2,total_loss
0,0.12001246958971024,0.15645501017570496,0.4957064688205719,0.08544983714818954,7.319671154022217,2.292891263961792,97.66783142089844
1,0.11761903017759323,0.15319189429283142,0.49116191267967224,0.08683419227600098,7.200137138366699,0.8136760592460632,93.70818328857422
2,0.10501629114151001,0.13579097390174866,0.46715888381004333,0.09461788088083267,6.4994659423828125,1.7864530086517334,90.33078002929688
3,0.09680899232625961,0.12424264848232269,0.4521448314189911,0.09942832589149475,6.067224025726318,2.9006192684173584,89.13093566894531
4,0.08850019425153732,0.11259236931800842,0.4356182813644409,0.10502564162015915,5.592599868774414,1.3891923427581787,82.54463195800781
5,0.07924408465623856,0.0993264839053154,0.4198824465274811,0.10959716886281967,5.06348991394043,1.108011245727539,78.08453369140625
6,0.061782583594322205,0.073846235871315,0.393074095249176,0.11535274982452393,4.0189948081970215,1.082395076751709,70.58934783935547
7,0.04650845378637314,0.05173814669251442,0.36562782526016235,0.12181034684181213,3.0359315872192383,2.2852988243103027,66.17500305175781
8,0.031138919293880463,0.030143754556775093,0.3355051279067993,0.12696565687656403,1.9996482133865356,2.626939058303833,59.62887191772461
9,0.021364472806453705,0.01750078797340393,0.3081599771976471,0.13200882077217102,1.3280773162841797,1.6972287893295288,52.62594223022461
10,0.00659924978390336,0.0018711265875026584,0.250162273645401,0.13584734499454498,0.3631233274936676,5.578014373779297,50.96715545654297
11,0.005401493050158024,0.0013900179183110595,0.2085001915693283,0.13353437185287476,0.28460493683815,4.516025543212891,44.19926071166992
12,0.005752084776759148,0.001755833043716848,0.199014350771904,0.1311948597431183,0.27640488743782043,5.047722339630127,44.14356231689453
13,0.0064369672909379005,0.0025560962967574596,0.17930497229099274,0.12621353566646576,0.33909302949905396,1.8607326745986938,35.511714935302734
14,0.006855776067823172,0.003282125573605299,0.1528986692428589,0.11225003004074097,0.37676170468330383,0.8325227499008179,29.570466995239258
15,0.006516056600958109,0.003148120827972889,0.13853970170021057,0.0970781221985817,0.33204385638237,1.4973297119140625,27.85490608215332
16,0.005305887665599585,0.0022413949482142925,0.1205136626958847,0.06756420433521271,0.27249857783317566,0.8793991208076477,21.593812942504883
17,0.004339742474257946,0.001521365367807448,0.10884043574333191,0.04682845622301102,0.22856272757053375,0.8696438670158386,18.120851516723633
18,0.0033798275981098413,0.000872298376634717,0.09828480333089828,0.026272183284163475,0.16764624416828156,1.5207104682922363,16.08997917175293
19,0.002902769250795245,0.0005875437636859715,0.09392274916172028,0.016643477603793144,0.14984488487243652,1.038818359375,13.633135795593262
20,0.0024214903824031353,0.00033705527312122285,0.08945933729410172,0.009025095961987972,0.1240113377571106,1.003743290901184,12.255794525146484
21,0.0019575729966163635,0.0001453757140552625,0.08495913445949554,0.0035772270057350397,0.08977512270212173,0.5172732472419739,10.188252449035645
22,0.0015235189348459244,2.9141356208128855e-05,0.08033286035060883,0.0006109729874879122,0.07801247388124466,0.2998349964618683,8.927331924438477
23,0.0005817673518322408,0.00018505382467992604,0.06419725716114044,0.004040056373924017,0.024889133870601654,0.4857531785964966,7.896808624267578
