epoch,endogvar_q_cond_q_min,endogvar_q_cond_q_max,endogvar_psi_cond_psi_min,endogvar_psi_cond_psi_max,endogeq_1,endogeq_2,total_loss
15,2.4711113155717612e-09,1.3833414413966238e-09,1.9098757775282138e-07,8.963548339124827e-07,5.230869282968342e-05,0.0007634643698111176,0.001688357093371451
16,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
17,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
18,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
19,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
20,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
21,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
22,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
23,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
24,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
25,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
26,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
27,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
28,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
29,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
30,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
31,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
32,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
33,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
34,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
35,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
36,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
37,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
38,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
39,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
40,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
41,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
42,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
43,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
44,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
45,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
46,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
47,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
48,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
49,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
50,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
51,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
52,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
53,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
54,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
55,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
56,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
57,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
58,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
59,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
60,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
61,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
62,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
63,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
64,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
65,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
66,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
67,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
68,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
