epoch,endogeq_1,total_loss
0,0.003383718430995941,0.003383718430995941
1,7.67353194532916e-05,7.67353194532916e-05
2,2.4106639102683403e-05,2.4106639102683403e-05
3,9.495952326687984e-06,9.495952326687984e-06
4,2.6998729936167365e-06,2.6998729936167365e-06
5,1.0588298664515605e-06,1.0588298664515605e-06
6,3.633863912000379e-07,3.633863912000379e-07
7,1.311956339122844e-07,1.311956339122844e-07
8,5.1076433749130956e-08,5.1076433749130956e-08
9,2.1054230359141002e-08,2.1054230359141002e-08
10,9.231452935409834e-09,9.231452935409834e-09
11,4.1128238592591515e-09,4.1128238592591515e-09
12,1.6313486117525144e-09,1.6313486117525144e-09
13,8.209185553553766e-10,8.209185553553766e-10
14,5.804410285747963e-10,5.804410285747963e-10
15,4.128455910468176e-10,4.128455910468176e-10
16,3.259517655784805e-10,3.259517655784805e-10
17,3.2331942678709424e-10,3.2331942678709424e-10
18,3.2331942678709424e-10,3.2331942678709424e-10
19,3.2331942678709424e-10,3.2331942678709424e-10
20,3.2331942678709424e-10,3.2331942678709424e-10
21,3.2331942678709424e-10,3.2331942678709424e-10
22,3.2331942678709424e-10,3.2331942678709424e-10
23,3.2331942678709424e-10,3.2331942678709424e-10
24,3.2331942678709424e-10,3.2331942678709424e-10
25,3.2331942678709424e-10,3.2331942678709424e-10
26,3.2331942678709424e-10,3.2331942678709424e-10
27,3.2331942678709424e-10,3.2331942678709424e-10
28,3.2331942678709424e-10,3.2331942678709424e-10
29,3.2331942678709424e-10,3.2331942678709424e-10
30,3.2331942678709424e-10,3.2331942678709424e-10
31,3.2331942678709424e-10,3.2331942678709424e-10
32,3.2331942678709424e-10,3.2331942678709424e-10
33,3.2331942678709424e-10,3.2331942678709424e-10
34,3.2331942678709424e-10,3.2331942678709424e-10
35,3.2331942678709424e-10,3.2331942678709424e-10
36,3.2331942678709424e-10,3.2331942678709424e-10
37,3.2331942678709424e-10,3.2331942678709424e-10
38,3.2331942678709424e-10,3.2331942678709424e-10
39,3.2331942678709424e-10,3.2331942678709424e-10
40,3.2331942678709424e-10,3.2331942678709424e-10
41,3.2331942678709424e-10,3.2331942678709424e-10
42,3.2331942678709424e-10,3.2331942678709424e-10
43,3.2331942678709424e-10,3.2331942678709424e-10
44,3.2331942678709424e-10,3.2331942678709424e-10
45,3.2331942678709424e-10,3.2331942678709424e-10
46,3.2331942678709424e-10,3.2331942678709424e-10
47,3.2331942678709424e-10,3.2331942678709424e-10
48,3.2331942678709424e-10,3.2331942678709424e-10
49,3.2331942678709424e-10,3.2331942678709424e-10
50,3.2331942678709424e-10,3.2331942678709424e-10
51,3.2331942678709424e-10,3.2331942678709424e-10
52,3.2331942678709424e-10,3.2331942678709424e-10
53,3.2331942678709424e-10,3.2331942678709424e-10
54,3.2331942678709424e-10,3.2331942678709424e-10
55,3.2331942678709424e-10,3.2331942678709424e-10
56,3.2331942678709424e-10,3.2331942678709424e-10
57,3.2331942678709424e-10,3.2331942678709424e-10
58,3.2331942678709424e-10,3.2331942678709424e-10
59,3.2331942678709424e-10,3.2331942678709424e-10
60,3.2331942678709424e-10,3.2331942678709424e-10
61,3.2331942678709424e-10,3.2331942678709424e-10
62,3.2331942678709424e-10,3.2331942678709424e-10
63,3.2331942678709424e-10,3.2331942678709424e-10
64,3.2331942678709424e-10,3.2331942678709424e-10
65,3.2331942678709424e-10,3.2331942678709424e-10
66,3.2331942678709424e-10,3.2331942678709424e-10
67,3.2331942678709424e-10,3.2331942678709424e-10
68,3.2331942678709424e-10,3.2331942678709424e-10
69,3.2331942678709424e-10,3.2331942678709424e-10
70,3.2331942678709424e-10,3.2331942678709424e-10
71,3.2331942678709424e-10,3.2331942678709424e-10
72,3.2331942678709424e-10,3.2331942678709424e-10
73,3.2331942678709424e-10,3.2331942678709424e-10
74,3.2331942678709424e-10,3.2331942678709424e-10
75,3.2331942678709424e-10,3.2331942678709424e-10
76,3.2331942678709424e-10,3.2331942678709424e-10
77,3.2331942678709424e-10,3.2331942678709424e-10
78,3.2331942678709424e-10,3.2331942678709424e-10
79,3.2331942678709424e-10,3.2331942678709424e-10
80,3.2331942678709424e-10,3.2331942678709424e-10
81,3.2331942678709424e-10,3.2331942678709424e-10
82,3.2331942678709424e-10,3.2331942678709424e-10
83,3.2331942678709424e-10,3.2331942678709424e-10
84,3.2331942678709424e-10,3.2331942678709424e-10
85,3.2331942678709424e-10,3.2331942678709424e-10
86,3.2331942678709424e-10,3.2331942678709424e-10
87,3.2331942678709424e-10,3.2331942678709424e-10
88,3.2331942678709424e-10,3.2331942678709424e-10
89,3.2331942678709424e-10,3.2331942678709424e-10
90,3.2331942678709424e-10,3.2331942678709424e-10
91,3.2331942678709424e-10,3.2331942678709424e-10
92,3.2331942678709424e-10,3.2331942678709424e-10
93,3.2331942678709424e-10,3.2331942678709424e-10
94,3.2331942678709424e-10,3.2331942678709424e-10
95,3.2331942678709424e-10,3.2331942678709424e-10
96,3.2331942678709424e-10,3.2331942678709424e-10
97,3.2331942678709424e-10,3.2331942678709424e-10
98,3.2331942678709424e-10,3.2331942678709424e-10
99,3.2331942678709424e-10,3.2331942678709424e-10
100,3.2331942678709424e-10,3.2331942678709424e-10
101,3.2331942678709424e-10,3.2331942678709424e-10
102,3.2331942678709424e-10,3.2331942678709424e-10
103,3.2331942678709424e-10,3.2331942678709424e-10
104,3.2331942678709424e-10,3.2331942678709424e-10
105,3.2331942678709424e-10,3.2331942678709424e-10
106,3.2331942678709424e-10,3.2331942678709424e-10
107,3.2331942678709424e-10,3.2331942678709424e-10
108,3.2331942678709424e-10,3.2331942678709424e-10
109,3.2331942678709424e-10,3.2331942678709424e-10
110,3.2331942678709424e-10,3.2331942678709424e-10
111,3.2331942678709424e-10,3.2331942678709424e-10
112,3.2331942678709424e-10,3.2331942678709424e-10
113,3.2331942678709424e-10,3.2331942678709424e-10
114,3.2331942678709424e-10,3.2331942678709424e-10
115,3.2331942678709424e-10,3.2331942678709424e-10
116,3.2331942678709424e-10,3.2331942678709424e-10
117,3.2331942678709424e-10,3.2331942678709424e-10
118,3.2331942678709424e-10,3.2331942678709424e-10
119,3.2331942678709424e-10,3.2331942678709424e-10
120,3.2331942678709424e-10,3.2331942678709424e-10
121,3.2331942678709424e-10,3.2331942678709424e-10
122,3.2331942678709424e-10,3.2331942678709424e-10
123,3.2331942678709424e-10,3.2331942678709424e-10
124,3.2331942678709424e-10,3.2331942678709424e-10
125,3.2331942678709424e-10,3.2331942678709424e-10
126,3.2331942678709424e-10,3.2331942678709424e-10
127,3.2331942678709424e-10,3.2331942678709424e-10
128,3.2331942678709424e-10,3.2331942678709424e-10
129,3.2331942678709424e-10,3.2331942678709424e-10
130,3.2331942678709424e-10,3.2331942678709424e-10
131,3.2331942678709424e-10,3.2331942678709424e-10
132,3.2331942678709424e-10,3.2331942678709424e-10
133,3.2331942678709424e-10,3.2331942678709424e-10
134,3.2331942678709424e-10,3.2331942678709424e-10
135,3.2331942678709424e-10,3.2331942678709424e-10
136,3.2331942678709424e-10,3.2331942678709424e-10
137,3.2331942678709424e-10,3.2331942678709424e-10
138,3.2331942678709424e-10,3.2331942678709424e-10
139,3.2331942678709424e-10,3.2331942678709424e-10
140,3.2331942678709424e-10,3.2331942678709424e-10
141,3.2331942678709424e-10,3.2331942678709424e-10
142,3.2331942678709424e-10,3.2331942678709424e-10
143,3.2331942678709424e-10,3.2331942678709424e-10
144,3.2331942678709424e-10,3.2331942678709424e-10
145,3.2331942678709424e-10,3.2331942678709424e-10
146,3.2331942678709424e-10,3.2331942678709424e-10
147,3.2331942678709424e-10,3.2331942678709424e-10
148,3.2331942678709424e-10,3.2331942678709424e-10
149,3.2331942678709424e-10,3.2331942678709424e-10
150,3.2331942678709424e-10,3.2331942678709424e-10
151,3.2331942678709424e-10,3.2331942678709424e-10
152,3.2331942678709424e-10,3.2331942678709424e-10
153,3.2331942678709424e-10,3.2331942678709424e-10
154,3.2331942678709424e-10,3.2331942678709424e-10
155,3.2331942678709424e-10,3.2331942678709424e-10
156,3.2331942678709424e-10,3.2331942678709424e-10
157,3.2331942678709424e-10,3.2331942678709424e-10
158,3.2331942678709424e-10,3.2331942678709424e-10
159,3.2331942678709424e-10,3.2331942678709424e-10
160,3.2331942678709424e-10,3.2331942678709424e-10
161,3.2331942678709424e-10,3.2331942678709424e-10
162,3.2331942678709424e-10,3.2331942678709424e-10
163,3.2331942678709424e-10,3.2331942678709424e-10
164,3.2331942678709424e-10,3.2331942678709424e-10
165,3.2331942678709424e-10,3.2331942678709424e-10
166,3.2331942678709424e-10,3.2331942678709424e-10
167,3.2331942678709424e-10,3.2331942678709424e-10
168,3.2331942678709424e-10,3.2331942678709424e-10
169,3.2331942678709424e-10,3.2331942678709424e-10
170,3.2331942678709424e-10,3.2331942678709424e-10
171,3.2331942678709424e-10,3.2331942678709424e-10
172,3.2331942678709424e-10,3.2331942678709424e-10
173,3.2331942678709424e-10,3.2331942678709424e-10
174,3.2331942678709424e-10,3.2331942678709424e-10
175,3.2331942678709424e-10,3.2331942678709424e-10
176,3.2331942678709424e-10,3.2331942678709424e-10
177,3.2331942678709424e-10,3.2331942678709424e-10
178,3.2331942678709424e-10,3.2331942678709424e-10
179,3.2331942678709424e-10,3.2331942678709424e-10
180,3.2331942678709424e-10,3.2331942678709424e-10
181,3.2331942678709424e-10,3.2331942678709424e-10
182,3.2331942678709424e-10,3.2331942678709424e-10
183,3.2331942678709424e-10,3.2331942678709424e-10
184,3.2331942678709424e-10,3.2331942678709424e-10
185,3.2331942678709424e-10,3.2331942678709424e-10
186,3.2331942678709424e-10,3.2331942678709424e-10
187,3.2331942678709424e-10,3.2331942678709424e-10
188,3.2331942678709424e-10,3.2331942678709424e-10
189,3.2331942678709424e-10,3.2331942678709424e-10
190,3.2331942678709424e-10,3.2331942678709424e-10
191,3.2331942678709424e-10,3.2331942678709424e-10
192,3.2331942678709424e-10,3.2331942678709424e-10
193,3.2331942678709424e-10,3.2331942678709424e-10
194,3.2331942678709424e-10,3.2331942678709424e-10
195,3.2331942678709424e-10,3.2331942678709424e-10
196,3.2331942678709424e-10,3.2331942678709424e-10
197,3.2331942678709424e-10,3.2331942678709424e-10
198,3.2331942678709424e-10,3.2331942678709424e-10
199,3.2331942678709424e-10,3.2331942678709424e-10
