epoch,total_loss
0,6.596365814681704e-12
1,9.679381861998904e-13
2,3.267549660953737e-15
3,3.266331839333822e-15
4,2.5225219269219565e-15
5,2.011941054228905e-15
6,1.9975213770930846e-15
7,1.9793940249888953e-15
